Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1,Approach
E1: llama3.1:8b,210,210,0.9285714285714286,0.9277543613160052,0.9277543613160052,0.9320926189347242,0.9285714285714284,0.8951741973185207,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.9210526315789472,1.0,0.958904109589041,0.9833333333333332,0.8428571428571429,0.9076923076923076,Zero-Shot
E2: qwen3:8b,210,210,0.9523809523809524,0.9526972624798712,0.9526972624798712,0.9537625861155272,0.9523809523809524,0.9289506695219228,0.9705882352941176,0.9428571428571428,0.9565217391304348,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.9054054054054054,0.9571428571428572,0.9305555555555556,Zero-Shot
E3: deepseek-r1:8b,210,210,0.9666666666666668,0.966826903329875,0.9668269033298748,0.9674360711129796,0.9666666666666668,0.9502262712905732,0.9855072463768116,0.9714285714285714,0.9784172661870504,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.9315068493150684,0.9714285714285714,0.951048951048951,Zero-Shot
E4: Llama-3.1:8b (Few-Shot),210,210,0.9571428571428572,0.9570270115718688,0.9570270115718688,0.9588941696493184,0.9571428571428572,,0.9846153846153848,0.9142857142857144,0.9481481481481482,0.9210526315789472,1.0,0.958904109589041,0.9710144927536232,0.9571428571428572,0.9640287769784172,Few-Shot
E5: Qwen3:8b (Few-Shot),210,210,0.9523809523809524,0.953048483074822,0.9530484830748218,0.9583333333333334,0.9523809523809524,,1.0,0.9142857142857144,0.9552238805970148,1.0,0.9428571428571428,0.9705882352941176,0.875,1.0,0.9333333333333332,Few-Shot
E6: Deepseek-r1:8b (Few-Shot),210,210,0.938095238095238,0.9382295986918672,0.9382295986918672,0.9384286394696684,0.938095238095238,,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.9855072463768116,0.9714285714285714,0.9784172661870504,0.9154929577464788,0.9285714285714286,0.9219858156028368,Few-Shot
E7: Llama3.1:8b (CoT),210,209,0.9090909090909092,0.9074992233612924,0.907630798592686,0.9154151404151404,0.9085576259489304,0.8674270755838491,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8974358974358975,1.0,0.945945945945946,0.9821428571428572,0.7971014492753623,0.88,Chain-of-Thought
E8: Qwen3:8b (CoT),210,210,0.9476190476190476,0.9481109029763274,0.9481109029763276,0.9510087951264422,0.9476190476190476,0.9226533121591802,0.9846153846153848,0.9142857142857144,0.9481481481481482,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.8831168831168831,0.9714285714285714,0.9251700680272108,Chain-of-Thought
E9: DeepSeek-R1:8b (CoT),210,210,0.938095238095238,0.9383901098299444,0.9383901098299444,0.9406080697842713,0.9380952380952382,0.9081008838316154,0.9692307692307692,0.9,0.9333333333333332,0.9710144927536232,0.9571428571428572,0.9640287769784172,0.881578947368421,0.9571428571428572,0.9178082191780822,Chain-of-Thought
E10: Llama3.1:8b (ToT),210,210,0.7428571428571429,0.7083418373740954,0.7083418373740955,0.8250575462431863,0.7428571428571429,0.6678382137267658,0.5775862068965517,0.9571428571428572,0.7204301075268817,0.9452054794520548,0.9857142857142858,0.965034965034965,0.9523809523809524,0.2857142857142857,0.4395604395604395,Tree-of-Thought
E11: Qwen3:8b (ToT),210,210,0.9333333333333332,0.93347645334969,0.93347645334969,0.9359649122807018,0.9333333333333332,0.9011040691127312,0.9078947368421052,0.9857142857142858,0.9452054794520548,1.0,0.9142857142857144,0.9552238805970148,0.9,0.9,0.9,Tree-of-Thought
E12: DeepSeek-R1:8b (ToT),209,209,0.9234449760765552,0.9240831494943812,0.9238606371221336,0.9257048092868988,0.9236024844720496,0.8857351356311114,0.9253731343283582,0.8857142857142857,0.9051094890510948,0.9850746268656716,0.9565217391304348,0.9705882352941176,0.8666666666666667,0.9285714285714286,0.896551724137931,Tree-of-Thought
