Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1,Approach
R1: llama3.1:8b (Zero-Shot),210,210,0.8047619047619048,0.7874217648224339,0.7874217648224339,0.8523809523809524,0.8047619047619049,0.7367844599159784,0.8571428571428571,0.9428571428571428,0.8979591836734694,0.7,1.0,0.8235294117647058,1.0,0.4714285714285714,0.6407766990291263,Zero-Shot
R2: qwen3:8b (Zero-Shot),210,210,0.8666666666666667,0.8631776704240472,0.8631776704240472,0.8850980392156863,0.8666666666666667,0.8123623944599233,0.75,0.9857142857142858,0.8518518518518519,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.92,0.6571428571428571,0.7666666666666667,Zero-Shot
R3: deepseek-r1:8b (Zero-Shot),210,210,0.8714285714285714,0.865286831705947,0.8652868317059469,0.8992978838316885,0.8714285714285714,0.8243418512297696,0.7526881720430108,1.0,0.8588957055214724,0.9452054794520548,0.9857142857142858,0.965034965034965,1.0,0.6285714285714286,0.7719298245614035,Zero-Shot
R4: Llama3.1:8b (Few-Shot),210,210,0.8285714285714286,0.8230296053887152,0.8230296053887152,0.8574754638584426,0.8285714285714286,0.7592521978520375,0.8611111111111112,0.8857142857142857,0.8732394366197183,0.7340425531914894,0.9857142857142858,0.8414634146341463,0.9772727272727272,0.6142857142857143,0.7543859649122807,Few-Shot
R5: Qwen3:8b (Few-Shot),210,210,0.9285714285714286,0.9291940390071828,0.9291940390071828,0.9324074074074076,0.9285714285714288,0.8940439071309886,0.9305555555555556,0.9571428571428572,0.943661971830986,1.0,0.9,0.9473684210526316,0.8666666666666667,0.9285714285714286,0.896551724137931,Few-Shot
R6: DeepSeek-R1:8b (Few-Shot),210,210,0.923809523809524,0.9239130434782608,0.9239130434782608,0.924748277689454,0.9238095238095236,0.8860760232362956,0.8918918918918919,0.9428571428571428,0.9166666666666666,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.8970588235294118,0.8714285714285714,0.8840579710144928,Few-Shot
R7: Llama3.1:8b (CoT),210,210,0.7571428571428571,0.7295617804486662,0.7295617804486662,0.8318318318318317,0.7571428571428571,0.6802288367513964,0.8648648648648649,0.9142857142857144,0.8888888888888888,0.6306306306306306,1.0,0.7734806629834254,1.0,0.3571428571428571,0.5263157894736842,Chain-of-Thought
R8: Qwen3:8b (CoT),210,210,0.938095238095238,0.9380183387624924,0.9380183387624922,0.939111306214028,0.9380952380952382,0.9077296748432896,0.9066666666666666,0.9714285714285714,0.9379310344827586,0.9852941176470588,0.9571428571428572,0.9710144927536232,0.9253731343283582,0.8857142857142857,0.9051094890510948,Chain-of-Thought
R9: DeepSeek-R1:8b (CoT),210,210,0.919047619047619,0.9186568986568986,0.9186568986568988,0.924404761904762,0.919047619047619,0.8815751003370311,0.8375,0.9571428571428572,0.8933333333333333,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.95,0.8142857142857143,0.8769230769230769,Chain-of-Thought
R10: Llama3.1:8b (ToT),210,210,0.6047619047619047,0.5633163133163133,0.5633163133163133,0.6953067376113307,0.6047619047619048,0.447963356285408,0.5616438356164384,0.5857142857142857,0.5734265734265734,0.5798319327731093,0.9857142857142858,0.7301587301587301,0.9444444444444444,0.24285714285714285,0.38636363636363635,Tree-of-Thought
R11: Qwen3:8b (ToT),210,210,0.919047619047619,0.9191379957401802,0.9191379957401802,0.9228172671210646,0.919047619047619,0.8804000078273296,0.8607594936708861,0.9714285714285714,0.912751677852349,1.0,0.9428571428571428,0.9705882352941176,0.9076923076923077,0.8428571428571429,0.8740740740740741,Tree-of-Thought
R12: DeepSeek-R1:8b (ToT),210,210,0.919047619047619,0.9178154306201369,0.9178154306201368,0.9250385240348006,0.919047619047619,0.8825730930859229,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.9577464788732394,0.9714285714285714,0.9645390070921985,0.9655172413793104,0.8,0.875,Tree-of-Thought
