Experiment,Total Samples,Valid Predictions,Accuracy,Macro-F1,Weighted-F1,Macro-Precision,Macro-Recall,MCC,Positive_Precision,Positive_Recall,Positive_F1,Negative_Precision,Negative_Recall,Negative_F1,Neutral_Precision,Neutral_Recall,Neutral_F1,Approach
I1: Llama3.1:8b,210,210,0.9,0.89521977593512,0.8952197759351199,0.9148606811145512,0.9,0.8603333837859215,0.8235294117647058,1.0,0.9032258064516128,0.9210526315789472,1.0,0.958904109589041,1.0,0.7,0.8235294117647058,Zero-Shot
I2: Qwen3:8b,210,210,0.9142857142857144,0.9152762066365008,0.9152762066365008,0.9283614006950014,0.9142857142857144,0.8776599882225783,0.9827586206896552,0.8142857142857143,0.890625,1.0,0.9428571428571428,0.9705882352941176,0.8023255813953488,0.9857142857142858,0.8846153846153846,Zero-Shot
I3: DeepSeek-R1:8b,208,208,0.9230769230769232,0.9237899692768208,0.9236657828075738,0.9268176268176268,0.9229813664596273,0.885722264469558,0.9384615384615383,0.8840579710144928,0.9104477611940298,0.9848484848484848,0.9420289855072465,0.9629629629629628,0.8571428571428571,0.9428571428571428,0.8979591836734694,Zero-Shot
I4: Llama3.1:8b (Few-Shot),210,210,0.8380952380952381,0.8243033193592159,0.8243033193592159,0.8638809749920862,0.8380952380952381,0.7769791116025917,0.8395061728395061,0.9714285714285714,0.9006622516556292,0.7777777777777778,1.0,0.875,0.9743589743589745,0.5428571428571428,0.6972477064220184,Few-Shot
I5: Qwen3:8b (Few-Shot),210,210,0.9523809523809524,0.9528722745798736,0.9528722745798736,0.955108359133127,0.9523809523809522,0.9294570476840982,0.9705882352941176,0.9428571428571428,0.9565217391304348,1.0,0.9428571428571428,0.9705882352941176,0.8947368421052632,0.9714285714285714,0.9315068493150684,Few-Shot
I6: DeepSeek-R1:8b (Few-Shot),210,210,0.9333333333333332,0.933970317835566,0.933970317835566,0.9359852810557036,0.9333333333333332,0.9006435467393644,0.9295774647887324,0.9428571428571428,0.9361702127659576,1.0,0.9285714285714286,0.9629629629629628,0.8783783783783784,0.9285714285714286,0.9027777777777778,Few-Shot
I7: Llama3.1:8b (COT),210,208,0.8461538461538461,0.8391213437585977,0.840086561114558,0.8748946747556454,0.8438375350140056,0.7868393151354243,0.9420289855072465,0.9285714285714286,0.935251798561151,0.7291666666666666,1.0,0.8433734939759037,0.9534883720930232,0.6029411764705882,0.7387387387387387,Chain-of-Thought
I8: Qwen3:8b (COT),210,210,0.9,0.9019727171922948,0.9019727171922948,0.9160919540229884,0.9,0.8564032688747163,0.9666666666666668,0.8285714285714286,0.8923076923076924,1.0,0.9,0.9473684210526316,0.7816091954022989,0.9714285714285714,0.8662420382165605,Chain-of-Thought
I9: DeepSeek-R1:8b (COT),210,209,0.9090909090909092,0.9082423649554976,0.90845579079913,0.9097250167672702,0.908695652173913,0.8645263675540863,0.8666666666666667,0.9285714285714286,0.896551724137931,0.9577464788732394,0.9714285714285714,0.9645390070921984,0.9047619047619048,0.8260869565217391,0.8636363636363636,Chain-of-Thought
I10: Llama3.1:8b (ToT),210,210,0.6857142857142857,0.6822500496919103,0.6822500496919102,0.6883599648282345,0.6857142857142856,0.5322226174692605,0.8135593220338984,0.6857142857142857,0.7441860465116279,0.6976744186046512,0.8571428571428571,0.7692307692307693,0.5538461538461539,0.5142857142857142,0.5333333333333333,Tree-of-Thought
I11: Qwen3:8b (ToT),210,210,0.6666666666666666,0.6262039471258696,0.6262039471258695,0.7472933889002755,0.6666666666666666,0.5559291953156951,0.8235294117647058,0.2,0.3218390804597701,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.5040650406504065,0.8857142857142857,0.6424870466321243,Tree-of-Thought
I12: DeepSeek-R1:8b (ToT),210,210,0.6,0.5206162891545852,0.5206162891545854,0.7906746031746031,0.6,0.49259449303797553,1.0,0.04285714285714286,0.0821917808219178,0.9206349206349206,0.8285714285714286,0.8721804511278195,0.4513888888888889,0.9285714285714286,0.6074766355140186,Tree-of-Thought
